"","mu","sigma","mu_log10","sigma_log10"
"nbr.val",3000,3000,Inf,Inf
"nbr.null",0,0,0,0
"nbr.na",0,0,0,0
"min",-12.1018008164418,4.07918040640488,-5.25574531567294,1.77156554118951
"max",-10.4699263414786,5.4871264643483,-4.54703123603766,2.38302874497177
"range",1.63187447496319,1.40794605794342,0.70871407963528,0.611463203782261
"sum",-33553.6332387095,14173.5452127511,-Inf,Inf
"median",-11.1762050301846,4.71904086822699,-4.85376417322854,2.04945340894691
"mean",-11.1845444129032,4.72451507091704,-4.85738592112568,2.05183082496802
"SE.mean",0.00447228455399094,0.00404386553567924,0.0019422885032994,0.00175622848770419
"CI.mean.0.95",0.0087690557282375,0.00792903085923412,0.00380835251427563,0.00344353434900602
"var",0.0600039873955978,0.0490585454119631,0.0260594006181004,0.0213058555626157
"std.dev",0.244957113380277,0.221491637340923,0.106383522644003,0.0961925958848792
"coef.var",-0.0219013939537564,0.0468813484593099,-0.00951165454010563,0.0203603109400619
